2016-08-08 00.00.04,-24769,Batt:ok, Id:1f/1, Temp: 82.1, Hum:84
2016-08-08 00.00.07,-24768,Batt:ok, Id:f3/4, Temp: 89.0, Hum:48
2016-08-08 00.00.20,-24767,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.00.29,-24766,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.00.57,-24765,Batt:ok, Id:1f/1, Temp: 82.1, Hum:84
2016-08-08 00.01.08,-24762,Batt:ok, Id:f3/4, Temp: 89.0, Hum:48
2016-08-08 00.01.10,-24761,Batt:ok, Id:c0/8, Temp: 72.5, Hum:48
2016-08-08 00.01.12,-24760,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.01.28,-24758,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.01.49,-24757,Batt:ok, Id:1f/1, Temp: 82.1, Hum:84
2016-08-08 00.02.09,-24755,Batt:ok, Id:f3/4, Temp: 89.0, Hum:48
2016-08-08 00.02.14,-24753,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.02.25,-24752,Batt:ok, Id:ab/7, Temp: 72.0, Hum:44
2016-08-08 00.02.27,-24751,Batt:lo, Id:40/3, Temp: 69.6, Hum:51
2016-08-08 00.02.29,-24750,Batt:ok, Id:c0/8, Temp: 72.5, Hum:49
2016-08-08 00.02.42,-24749,Batt:ok, Id:1f/1, Temp: 82.1, Hum:84
2016-08-08 00.03.10,-24748,Batt:ok, Id:f3/4, Temp: 89.0, Hum:48
2016-08-08 00.03.11,-24747,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.03.26,-24744,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.03.35,-24743,Batt:ok, Id:1f/1, Temp: 82.1, Hum:85
2016-08-08 00.03.38,-24742,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.03.48,-24741,Batt:ok, Id:c0/8, Temp: 72.6, Hum:48
2016-08-08 00.04.08,-24740,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.04.11,-24739,Batt:ok, Id:f3/4, Temp: 88.9, Hum:48
2016-08-08 00.04.25,-24737,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.04.28,-24736,Batt:ok, Id:1f/1, Temp: 82.0, Hum:85
2016-08-08 00.04.51,-24734,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.05.05,-24733,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.05.07,-24732,Batt:ok, Id:c0/8, Temp: 72.7, Hum:48
2016-08-08 00.05.12,-24731,Batt:ok, Id:f3/4, Temp: 88.9, Hum:48
2016-08-08 00.05.21,-24730,Batt:ok, Id:1f/1, Temp: 82.1, Hum:85
2016-08-08 00.05.24,-24729,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.06.02,-24726,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.06.04,-24725,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.06.13,-24724,Batt:ok, Id:f3/4, Temp: 88.9, Hum:48
2016-08-08 00.06.14,-24723,Batt:ok, Id:1f/1, Temp: 82.0, Hum:85
2016-08-08 00.06.23,-24722,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.06.26,-24721,Batt:ok, Id:c0/8, Temp: 72.7, Hum:48
2016-08-08 00.06.59,-24718,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.07.07,-24717,Batt:ok, Id:1f/1, Temp: 82.0, Hum:85
2016-08-08 00.07.14,-24716,Batt:ok, Id:f3/4, Temp: 88.9, Hum:48
2016-08-08 00.07.17,-24715,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.07.22,-24714,Batt:lo, Id:40/3, Temp: 69.6, Hum:51
2016-08-08 00.07.45,-24712,Batt:ok, Id:c0/8, Temp: 72.7, Hum:48
2016-08-08 00.07.56,-24711,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.08.00,-24710,Batt:ok, Id:1f/1, Temp: 82.0, Hum:85
2016-08-08 00.08.15,-24708,Batt:ok, Id:f3/4, Temp: 88.9, Hum:48
2016-08-08 00.08.21,-24707,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.08.30,-24706,Batt:ok, Id:ab/7, Temp: 71.8, Hum:44
2016-08-08 00.09.04,-24703,Batt:ok, Id:c0/8, Temp: 72.6, Hum:48
2016-08-08 00.09.16,-24702,Batt:ok, Id:f3/4, Temp: 88.9, Hum:48
2016-08-08 00.09.20,-24700,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.09.43,-24699,Batt:ok, Id:ab/7, Temp: 71.7, Hum:44
2016-08-08 00.09.46,-24698,Batt:ok, Id:1f/1, Temp: 82.0, Hum:85
2016-08-08 00.09.50,-24697,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.10.17,-24695,Batt:ok, Id:f3/4, Temp: 88.8, Hum:48
2016-08-08 00.10.19,-24694,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.10.23,-24693,Batt:ok, Id:c0/8, Temp: 72.6, Hum:48
2016-08-08 00.10.39,-24691,Batt:ok, Id:1f/1, Temp: 81.9, Hum:85
2016-08-08 00.10.47,-24690,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.10.56,-24689,Batt:ok, Id:ab/7, Temp: 71.6, Hum:44
2016-08-08 00.11.18,-24687,Batt:lo, Id:40/3, Temp: 69.4, Hum:51
2016-08-08 00.11.18,-24686,Batt:ok, Id:f3/4, Temp: 88.9, Hum:48
2016-08-08 00.11.32,-24685,Batt:ok, Id:1f/1, Temp: 81.9, Hum:85
2016-08-08 00.11.42,-24683,Batt:ok, Id:c0/8, Temp: 72.6, Hum:48
2016-08-08 00.11.44,-24682,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.12.09,-24680,Batt:ok, Id:ab/7, Temp: 71.5, Hum:44
2016-08-08 00.12.17,-24679,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.12.19,-24678,Batt:ok, Id:f3/4, Temp: 88.8, Hum:48
2016-08-08 00.12.25,-24677,Batt:ok, Id:1f/1, Temp: 81.9, Hum:85
2016-08-08 00.12.41,-24676,Batt:ok, Id:99/2, Temp: 76.5, Hum:59
2016-08-08 00.13.01,-24674,Batt:ok, Id:c0/8, Temp: 72.6, Hum:48
2016-08-08 00.13.16,-24672,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.13.18,-24671,Batt:ok, Id:1f/1, Temp: 81.9, Hum:85
2016-08-08 00.13.20,-24670,Batt:ok, Id:f3/4, Temp: 88.8, Hum:48
2016-08-08 00.13.22,-24669,Batt:ok, Id:ab/7, Temp: 71.5, Hum:44
2016-08-08 00.13.38,-24668,Batt:ok, Id:99/2, Temp: 76.5, Hum:59
2016-08-08 00.14.11,-24666,Batt:ok, Id:1f/1, Temp: 81.9, Hum:85
2016-08-08 00.14.15,-24665,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.14.20,-24664,Batt:ok, Id:c0/8, Temp: 72.6, Hum:48
2016-08-08 00.14.21,-24663,Batt:ok, Id:f3/4, Temp: 88.8, Hum:48
2016-08-08 00.14.35,-24661,Batt:ok, Id:ab/7, Temp: 71.5, Hum:44
2016-08-08 00.15.04,-24660,Batt:ok, Id:1f/1, Temp: 81.8, Hum:85
2016-08-08 00.15.14,-24658,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.15.22,-24657,Batt:ok, Id:f3/4, Temp: 88.7, Hum:48
2016-08-08 00.15.32,-24655,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.15.39,-24654,Batt:ok, Id:c0/8, Temp: 72.7, Hum:48
2016-08-08 00.15.48,-24653,Batt:ok, Id:ab/7, Temp: 71.6, Hum:44
2016-08-08 00.15.57,-24652,Batt:ok, Id:1f/1, Temp: 81.8, Hum:85
2016-08-08 00.16.13,-24651,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.16.23,-24650,Batt:ok, Id:f3/4, Temp: 88.8, Hum:48
2016-08-08 00.16.29,-24648,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.16.50,-24646,Batt:ok, Id:1f/1, Temp: 81.8, Hum:86
2016-08-08 00.16.58,-24645,Batt:ok, Id:c0/8, Temp: 72.7, Hum:48
2016-08-08 00.17.01,-24644,Batt:ok, Id:ab/7, Temp: 71.6, Hum:44
2016-08-08 00.17.12,-24643,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.17.24,-24642,Batt:ok, Id:f3/4, Temp: 88.7, Hum:48
2016-08-08 00.17.26,-24641,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.18.11,-24637,Batt:lo, Id:40/3, Temp: 69.4, Hum:51
2016-08-08 00.18.14,-24636,Batt:ok, Id:ab/7, Temp: 71.6, Hum:44
2016-08-08 00.18.17,-24635,Batt:ok, Id:c0/8, Temp: 72.7, Hum:48
2016-08-08 00.18.23,-24634,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.18.25,-24633,Batt:ok, Id:f3/4, Temp: 88.7, Hum:48
2016-08-08 00.18.36,-24632,Batt:ok, Id:1f/1, Temp: 81.8, Hum:86
2016-08-08 00.19.10,-24629,Batt:lo, Id:40/3, Temp: 69.4, Hum:51
2016-08-08 00.19.20,-24628,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.19.26,-24627,Batt:ok, Id:f3/4, Temp: 88.7, Hum:48
2016-08-08 00.19.27,-24626,Batt:ok, Id:ab/7, Temp: 71.7, Hum:44
2016-08-08 00.19.29,-24625,Batt:ok, Id:1f/1, Temp: 81.7, Hum:86
2016-08-08 00.19.36,-24624,Batt:ok, Id:c0/8, Temp: 72.7, Hum:48
2016-08-08 00.20.09,-24621,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.20.17,-24620,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.20.22,-24619,Batt:ok, Id:1f/1, Temp: 81.7, Hum:86
2016-08-08 00.20.27,-24618,Batt:ok, Id:f3/4, Temp: 88.7, Hum:48
2016-08-08 00.20.40,-24617,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.20.55,-24616,Batt:ok, Id:c0/8, Temp: 72.8, Hum:48
2016-08-08 00.21.14,-24612,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.21.15,-24611,Batt:ok, Id:1f/1, Temp: 81.7, Hum:86
2016-08-08 00.21.28,-24610,Batt:ok, Id:f3/4, Temp: 88.7, Hum:48
2016-08-08 00.21.53,-24609,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
